#Aegean version 2.3.0-(2022-08-17)
# on dataset: IC10_A+B_full.comb_spw.wt_nbcont.image.fits
#isl,src   bkg       rms         RA           DEC         RA         err         DEC        err         Peak      err     S_int     err        a    err    b    err     pa   err    flags
#         Jy/beam   Jy/beam                               deg        deg         deg        deg       Jy/beam   Jy/beam    Jy       Jy         ''    ''    ''    ''    deg   deg   ZWNCPES
#============================================================================================================================================================================================
(0001,00)  0.000003  0.000039 00:21:01.56  +58:53:16.25   5.2564869  0.0000434  58.8878485  0.0001086  0.000339  0.000152  0.000339  0.000152  2.16 -1.00  1.79 -1.00  -65.5  -1.0   0000100
(0003,00) -0.000013  0.000058 00:21:02.17  +58:54:26.58   5.2590311  0.0000182  58.9073841  0.0000127  0.001655  0.000028  0.016986  0.000296  7.60  0.02  5.22  0.01  -74.0   0.1   0000000
(0003,01) -0.000011  0.000061 00:21:02.31  +58:54:33.96   5.2596182  0.0000182  58.9094339  0.0000127  0.000626  0.000028  0.001853  0.000085  3.49  0.03  3.28  0.01  -69.8   0.0   0000000
(0003,02) -0.000014  0.000058 00:21:01.28  +58:54:32.01   5.2553164  0.0000182  58.9088917  0.0000127  0.000266  0.000028  0.002084  0.000222  6.14  0.03  4.94  0.02   21.7   0.0   0000000
(0005,00) -0.000003  0.000032 00:22:01.92  +58:56:49.72   5.5080024  0.0002097  58.9471450  0.0000912  0.000381  0.000027  0.004096  0.000313  6.89  0.20  6.04  0.05  -73.7   0.7   0000000
(0005,01) -0.000004  0.000032 00:22:01.46  +58:56:51.47   5.5060943  0.0002097  58.9476294  0.0000912  0.000122  0.000027  0.000871  0.000193  7.98  0.26  3.45  0.06   21.0   0.3   0000000
(0006,00) -0.000005  0.000032 00:22:01.91  +58:56:57.81   5.5079487  0.0000702  58.9493905  0.0000908  0.000198  0.000032  0.000330  0.000058  2.89  0.14  2.22  0.12  -63.1   1.1   0000000
(0006,01) -0.000004  0.000032 00:22:01.97  +58:56:55.61   5.5081949  0.0000702  58.9487805  0.0000908  0.000165  0.000032  0.000135  0.000029  1.84  0.13  1.73  0.11  -65.5   1.0   0000000
(0007,00)  0.000002  0.000034 00:18:43.77  +58:57:20.08   4.6823582  0.0000180  58.9555773  0.0000206  0.000667  0.000017  0.006801  0.000187  6.49  0.05  6.07  0.05   36.7   0.3   0000000
(0008,00) -0.000001  0.000035 00:18:43.87  +58:57:27.41   4.6827962  0.0000938  58.9576145  0.0000826  0.000217  0.000028  0.000938  0.000137  4.32  0.18  3.86  0.20   20.4   1.8   0000000
(0009,00) -0.000004  0.000026 00:18:57.51  +58:59:47.99   4.7396279  0.0001207  58.9966640  0.0001169  0.000307  0.000053  0.001031  0.000186  4.14  0.11  3.14  0.15   26.5   0.3   0000000
(0009,01) -0.000004  0.000026 00:18:57.19  +58:59:49.64   4.7383072  0.0001207  58.9971227  0.0001169  0.000174  0.000053  0.000429  0.000134  4.40  0.10  2.16  0.14   25.0   0.2   0000000
(0009,02) -0.000005  0.000026 00:18:58.05  +58:59:49.44   4.7418755  0.0001207  58.9970680  0.0001169  0.000103  0.000053  0.000438  0.000226  4.19  0.09  3.92  0.12  -67.7   0.4   0000000
(0011,00)  0.000011  0.000027 00:20:18.83  +59:00:37.07   5.0784685  0.0000533  59.0102982  0.0000480  0.000158  0.000025  0.000158  0.000025  2.16 -1.00  1.79 -1.00  -65.6  -1.0   0000100
(0012,00)  0.000001  0.000046 00:20:57.06  +59:01:23.56   5.2377299  0.0000071  59.0232101  0.0000061  0.002241  0.000030  0.009663  0.000130  4.47  0.01  3.72  0.00  -77.1   0.1   0000000
(0013,00) -0.000008  0.000025 00:19:03.48  +59:01:53.79   4.7644956  0.0000449  59.0316087  0.0000351  0.000254  0.000016  0.001482  0.000100  5.78  0.09  3.91  0.06  -67.9   0.2   0000000
(0015,00) -0.000001  0.000023 00:19:32.63  +59:03:24.49   4.8859702  0.0000276  59.0568016  0.0000253  0.000291  0.000017  0.001007  0.000060  3.90  0.04  3.43  0.03  -70.9   0.4   0000000
(0016,00) -0.000002  0.000032 00:21:44.80  +59:03:30.90   5.4366829  0.0000115  59.0585828  0.0000104  0.000933  0.000018  0.005352  0.000105  5.05  0.01  4.38  0.01  -72.3   0.1   0000000
(0017,00) -0.000007  0.000026 00:19:27.72  +59:04:36.23   4.8655075  0.0000560  59.0767302  0.0000609  0.000313  0.000021  0.001363  0.000097  4.19  0.05  4.02  0.10   24.5   1.7   0000000
(0017,01) -0.000008  0.000026 00:19:28.04  +59:04:38.71   4.8668261  0.0000560  59.0774191  0.0000609  0.000179  0.000021  0.000298  0.000037  2.96  0.05  2.18  0.10   23.8   1.4   0000000
(0017,02) -0.000008  0.000026 00:19:28.27  +59:04:41.27   4.8678049  0.0000560  59.0781301  0.0000609  0.000139  0.000021  0.000232  0.000037  3.00  0.06  2.14  0.11  -61.8   2.0   0000000
(0017,03) -0.000007  0.000026 00:19:27.76  +59:04:40.31   4.8656658  0.0000560  59.0778631  0.0000609  0.000107  0.000021  0.000126  0.000025  2.43  0.05  1.87  0.10   23.7   1.4   0000000
(0017,04) -0.000008  0.000026 00:19:27.96  +59:04:41.32   4.8665050  0.0000560  59.0781431  0.0000609  0.000098  0.000021  0.000068  0.000016  1.87  0.07  1.43  0.13  -56.7   1.9   0000000
(0018,00) -0.000000  0.000022 00:22:57.93  +59:04:36.12   5.7413664  0.0000555  59.0766995  0.0000590  0.000121  0.000021  0.000121  0.000021  2.16 -1.00  1.79 -1.00  -65.1  -1.0   0000100
(0019,00) -0.000009  0.000026 00:19:28.76  +59:04:46.26   4.8698538  0.0000553  59.0795173  0.0000510  0.000147  0.000023  0.000147  0.000023  2.16 -1.00  1.79 -1.00  -65.8  -1.0   0000100
(0020,00) -0.000002  0.000027 00:21:00.33  +59:05:31.44   5.2513655  0.0000407  59.0920668  0.0000410  0.000182  0.000024  0.000182  0.000024  2.16 -1.00  1.79 -1.00  -65.5  -1.0   0000100
(0021,00) -0.000004  0.000024 00:21:48.55  +59:06:17.49   5.4522961  0.0001380  59.1048584  0.0000961  0.000122  0.000021  0.000480  0.000099  5.09  0.45  3.00  0.21  -64.7   0.6   0000000
(0022,00)  0.000010  0.000024 00:19:05.58  +59:06:35.65   4.7732426  0.0000375  59.1099026  0.0000568  0.000215  0.000020  0.000604  0.000064  3.67  0.07  2.96  0.14   29.3   0.4   0000000
(0024,00) -0.000001  0.000025 00:20:06.76  +59:07:14.88   5.0281801  0.0001376  59.1207986  0.0001874  0.000122  0.000023  0.000499  0.000141  5.09  0.46  3.11  0.59   22.9   0.5   0000000
