RA,DEC,Peak Flux Density [Jy/beam],Peak err [Jy/beam],S_int [Jy],S_int err [Jy]
00:21:02.17,+58:54:26.58,0.001655,0.000028,0.016986,0.000296
00:20:57.06,+59:01:23.56,0.002241,0.000030,0.009663,0.000130
00:20:54.51,+59:10:51.13,0.001563,0.000027,0.003205,0.000057
00:21:08.85,+59:11:33.27,0.009323,0.000042,0.011818,0.000055
00:21:01.66,+59:17:00.70,0.001775,0.000063,0.003767,0.000136
00:20:27.16,+59:17:05.85,0.001559,0.000068,0.008390,0.000386
00:20:26.97,+59:17:28.66,0.002406,0.000063,0.004751,0.000130
00:20:17.38,+59:18:39.73,0.005851,0.000035,0.016274,0.000100
00:20:14.97,+59:18:53.94,0.001643,0.000027,0.004890,0.000081
00:19:16.27,+59:20:15.01,0.001429,0.000023,0.003994,0.000065
