0h21m1.56s, 58d53m16.25s 
0h21m2.17s, 58d54m26.58s 
0h21m2.31s, 58d54m33.96s 
0h22m1.92s, 58d56m49.72s 
0h18m43.77s, 58d57m20.08s 
0h18m57.51s, 58d59m47.99s 
0h20m57.06s, 59d1m23.56s 
0h21m44.80s, 59d3m30.90s 
0h19m27.72s, 59d4m36.23s 
0h20m54.51s, 59d10m51.13s 
0h22m4.98s, 59d10m57.38s 
0h21m8.85s, 59d11m33.27s 
0h21m21.30s, 59d12m8.22s 
0h21m44.94s, 59d12m37.72s 
0h20m8.41s, 59d13m30.35s 
0h20m8.94s, 59d13m30.89s 
0h18m19.70s, 59d14m23.65s 
0h20m8.36s, 59d15m40.19s 
0h21m20.10s, 59d16m3.51s 
0h20m58.76s, 59d16m50.27s 
0h21m1.66s, 59d17m0.70s 
0h21m1.85s, 59d17m2.74s 
0h20m27.15s, 59d17m6.01s 
0h20m28.11s, 59d17m9.78s 
0h20m27.65s, 59d17m3.58s 
0h19m14.49s, 59d17m11.64s 
0h20m27.55s, 59d17m23.63s 
0h20m26.97s, 59d17m28.66s 
0h20m27.70s, 59d17m39.24s 
0h21m19.38s, 59d17m37.91s 
0h20m18.29s, 59d17m40.99s 
0h19m10.00s, 59d17m44.77s 
0h20m19.34s, 59d18m2.46s 
0h20m50.29s, 59d18m29.04s 
0h20m17.38s, 59d18m39.73s 
0h20m26.81s, 59d18m43.60s 
0h20m19.28s, 59d18m54.84s 
0h20m18.74s, 59d18m50.95s 
0h20m14.97s, 59d18m53.94s 
0h20m10.05s, 59d19m14.60s 
0h19m9.13s, 59d19m18.65s 
0h19m14.47s, 59d20m6.46s 
0h19m16.27s, 59d20m15.02s 
0h21m10.47s, 59d22m28.98s 
0h19m41.30s, 59d22m42.10s 
0h21m52.50s, 59d26m5.32s 
0h22m53.40s, 59d28m34.70s 
0h22m1.94s, 59d30m56.10s 
0h20m46.06s, 59d33m29.31s 
0h19m28.58s, 59d36m8.93s 
