0h21m1.56s, 58d53m16.25s 
0h21m2.17s, 58d54m26.58s 
0h21m2.31s, 58d54m33.96s 
0h21m1.28s, 58d54m32.01s 
0h22m1.92s, 58d56m49.72s 
0h22m1.46s, 58d56m51.47s 
0h22m1.91s, 58d56m57.81s 
0h22m1.97s, 58d56m55.61s 
0h18m43.77s, 58d57m20.08s 
0h18m43.87s, 58d57m27.41s 
0h18m57.51s, 58d59m47.99s 
0h18m57.19s, 58d59m49.64s 
0h18m58.05s, 58d59m49.44s 
0h20m18.83s, 59d0m37.07s 
0h20m57.06s, 59d1m23.56s 
0h19m3.48s, 59d1m53.79s 
0h19m32.63s, 59d3m24.49s 
0h21m44.80s, 59d3m30.90s 
0h19m27.72s, 59d4m36.23s 
0h19m28.04s, 59d4m38.71s 
0h19m28.27s, 59d4m41.27s 
0h19m27.76s, 59d4m40.31s 
0h22m57.93s, 59d4m36.12s 
0h19m28.76s, 59d4m46.26s 
0h21m0.33s, 59d5m31.44s 
0h21m48.55s, 59d6m17.49s 
0h19m5.58s, 59d6m35.65s 
0h20m6.76s, 59d7m14.88s 
0h20m18.26s, 59d7m31.48s 
0h19m51.93s, 59d7m32.49s 
0h19m24.25s, 59d7m40.32s 
0h19m30.64s, 59d7m46.83s 
0h17m51.14s, 59d8m0.78s 
0h17m48.40s, 59d7m54.21s 
0h17m47.94s, 59d7m52.26s 
0h17m49.94s, 59d7m55.67s 
0h17m49.33s, 59d7m54.76s 
0h17m50.17s, 59d7m56.60s 
0h17m50.29s, 59d7m59.40s 
0h19m18.97s, 59d8m20.34s 
0h22m39.17s, 59d8m17.62s 
0h19m7.61s, 59d8m53.22s 
0h18m48.95s, 59d10m32.17s 
0h19m43.88s, 59d10m34.97s 
0h20m54.51s, 59d10m51.13s 
0h21m19.35s, 59d10m56.39s 
0h22m4.98s, 59d10m57.38s 
0h21m7.42s, 59d11m20.27s 
0h21m8.85s, 59d11m33.27s 
0h18m12.47s, 59d11m51.10s 
0h21m21.30s, 59d12m8.22s 
0h19m17.00s, 59d12m31.51s 
0h20m14.45s, 59d12m34.13s 
0h21m44.94s, 59d12m37.72s 
0h21m32.81s, 59d13m15.89s 
0h21m10.20s, 59d13m16.56s 
0h20m8.41s, 59d13m30.35s 
0h20m8.94s, 59d13m30.89s 
0h20m7.55s, 59d13m29.95s 
0h18m19.73s, 59d14m23.54s 
0h18m19.53s, 59d14m26.20s 
0h18m43.47s, 59d14m33.25s 
0h22m22.98s, 59d15m0.70s 
0h20m17.94s, 59d15m22.57s 
0h20m8.36s, 59d15m40.19s 
0h21m30.77s, 59d16m1.12s 
0h21m20.10s, 59d16m3.51s 
0h20m13.60s, 59d16m26.74s 
0h19m51.50s, 59d16m44.28s 
0h20m58.76s, 59d16m50.27s 
0h20m59.28s, 59d16m51.74s 
0h20m59.66s, 59d16m53.47s 
0h20m59.92s, 59d16m54.88s 
0h20m58.30s, 59d16m49.39s 
0h21m24.31s, 59d16m52.94s 
0h20m24.42s, 59d16m54.58s 
0h19m43.52s, 59d16m56.92s 
0h21m1.66s, 59d17m0.70s 
0h21m2.15s, 59d17m6.61s 
0h21m2.22s, 59d17m5.05s 
0h21m1.85s, 59d17m2.76s 
0h21m0.95s, 59d17m4.85s 
0h21m1.22s, 59d17m6.56s 
0h21m0.88s, 59d17m7.12s 
0h21m1.34s, 59d17m9.73s 
0h21m55.87s, 59d17m0.96s 
0h20m27.16s, 59d17m5.85s 
0h20m28.08s, 59d17m9.40s 
0h19m14.49s, 59d17m11.64s 
0h21m29.52s, 59d17m11.30s 
0h20m27.55s, 59d17m23.61s 
0h20m26.97s, 59d17m28.66s 
0h20m20.70s, 59d17m36.14s 
0h20m21.14s, 59d17m34.33s 
0h20m20.91s, 59d17m32.45s 
0h20m20.62s, 59d17m31.40s 
0h21m19.38s, 59d17m37.91s 
0h20m27.70s, 59d17m39.23s 
0h18m55.66s, 59d17m37.23s 
0h20m18.29s, 59d17m41.00s 
0h19m10.00s, 59d17m44.77s 
0h18m59.86s, 59d17m45.06s 
0h20m19.34s, 59d18m2.46s 
0h17m49.17s, 59d18m7.00s 
0h23m1.12s, 59d18m12.49s 
0h20m50.29s, 59d18m29.04s 
0h20m17.38s, 59d18m39.73s 
0h18m44.02s, 59d18m35.36s 
0h20m26.81s, 59d18m43.60s 
0h20m44.62s, 59d18m47.62s 
0h20m19.28s, 59d18m54.84s 
0h20m18.74s, 59d18m50.95s 
0h20m14.97s, 59d18m53.94s 
0h19m45.24s, 59d18m57.62s 
0h19m35.75s, 59d19m2.93s 
0h20m10.05s, 59d19m14.61s 
0h19m9.13s, 59d19m18.65s 
0h20m33.38s, 59d19m43.07s 
0h20m8.13s, 59d19m55.26s 
0h20m22.20s, 59d20m1.50s 
0h19m14.47s, 59d20m6.47s 
0h20m13.42s, 59d20m12.65s 
0h19m16.27s, 59d20m15.01s 
0h18m41.90s, 59d20m53.04s 
0h20m15.14s, 59d21m40.56s 
0h20m32.66s, 59d21m58.10s 
0h19m23.76s, 59d22m23.17s 
0h19m23.62s, 59d22m21.35s 
0h21m10.47s, 59d22m28.98s 
0h19m41.30s, 59d22m42.10s 
0h19m33.26s, 59d24m0.36s 
0h21m14.40s, 59d24m7.96s 
0h22m43.09s, 59d25m25.70s 
0h22m43.43s, 59d25m26.42s 
