#Aegean version 2.3.0-(2022-08-17)
# on dataset: NGC6822_A+B.comb_spw.wt_nbcont.image.fits
#isl,src   bkg       rms         RA           DEC         RA         err         DEC        err         Peak      err     S_int     err        a    err    b    err     pa   err    flags
#         Jy/beam   Jy/beam                               deg        deg         deg        deg       Jy/beam   Jy/beam    Jy       Jy         ''    ''    ''    ''    deg   deg   ZWNCPES
#============================================================================================================================================================================================
(0001,00)  0.000003  0.000053 19:45:47.44  -15:16:10.50 296.4476862  0.0002302 -15.2695839  0.0000792  0.000286  0.000036  0.001702  0.000689 10.40  0.40  4.40  1.68   85.5   0.4   0000000
(0002,00) -0.000009  0.000047 19:44:43.39  -15:11:43.97 296.1808095  0.0001008 -15.1955470  0.0002425  0.000249  0.000040  0.000839  0.000274  7.98  1.61  3.25  0.65   -1.2   0.1   0000000
(0003,00) -0.000011  0.000049 19:44:43.81  -15:11:18.91 296.1825246  0.0000583 -15.1885856  0.0001487  0.000325  0.000036  0.001455  0.000234  9.18  0.81  3.75  0.28   -4.7   0.1   0000000
(0004,00) -0.000012  0.000051 19:44:44.09  -15:11:05.57 296.1837247  0.0021929 -15.1848808  0.0003972  0.000288  0.000098  0.000910  0.002711  6.49  1.02  3.74 11.06   84.4   2.4   0000000
(0004,01) -0.000012  0.000050 19:44:44.01  -15:11:08.98 296.1833646  0.0021929 -15.1858273  0.0003972  0.000220  0.000098  0.000221  0.001034  3.24  1.02  2.39 11.09   -4.0   1.0   0000000
(0005,00) -0.000012  0.000053 19:44:44.26  -15:10:56.35 296.1844193  0.0001348 -15.1823188  0.0006654  0.000210  0.000349  0.000257  0.000452  4.98  2.57  1.89  0.49   -6.9   0.2   0000000
(0005,01) -0.000012  0.000054 19:44:44.34  -15:10:52.19 296.1847467  0.0001348 -15.1811638  0.0006654  0.000283  0.000349  0.000731  0.000953  6.73  2.58  2.95  0.49   -4.6   0.2   0000000
(0005,02) -0.000012  0.000052 19:44:44.18  -15:11:00.19 296.1840971  0.0001348 -15.1833857  0.0006654  0.000258  0.000349  0.000435  0.000628  5.53  2.58  2.34  0.49   -3.3   0.2   0000000
(0006,00) -0.000006  0.000056 19:44:45.06  -15:10:18.92 296.1877504  0.0000238 -15.1719224  0.0000162  0.001252  0.000040  0.004204  0.000164  5.96  0.05  4.33  0.09   85.3   0.1   0000000
(0007,00)  0.000003  0.000049 19:44:57.55  -15:09:06.85 296.2397948  0.0000982 -15.1519036  0.0001020  0.000302  0.000039  0.001209  0.000235  5.82  0.57  5.28  0.56  -10.3   1.4   0000000
(0008,00) -0.000002  0.000048 19:45:59.45  -15:06:43.44 296.4977085  0.0002039 -15.1120658  0.0001260  0.000243  0.000039  0.001096  0.000370  6.36  0.76  5.45  1.48  -86.5   1.9   0000000
(0009,00) -0.000015  0.000035 19:46:55.49  -15:06:18.88 296.7312136  0.0004808 -15.1052447  0.0002785  0.000134  0.000267  0.000282  0.000578  4.65  1.39  3.46  1.43   -6.5   0.8   0000000
(0009,01) -0.000015  0.000035 19:46:55.78  -15:06:18.34 296.7324336  0.0004808 -15.1050935  0.0002785  0.000199  0.000267  0.000819  0.001140  6.09  1.39  5.21  1.43   83.9   1.3   0000000
(0009,02) -0.000014  0.000034 19:46:54.89  -15:06:18.23 296.7287133  0.0004808 -15.1050641  0.0002785  0.000188  0.000267  0.000944  0.001373  6.67  1.39  5.77  1.43   86.1   1.3   0000000
(0009,03) -0.000014  0.000035 19:46:55.29  -15:06:17.65 296.7303652  0.0004808 -15.1049039  0.0002785  0.000143  0.000267  0.000662  0.001258  8.68  1.39  4.09  1.43   -5.3   0.5   0000000
(0010,00) -0.000000  0.000040 19:46:48.33  -15:04:59.07 296.7013958  0.0007884 -15.0830758  0.0007447  0.000152  0.000401  0.000947  0.002548  7.30  2.75  6.55  2.46   -2.9   1.9   0000000
(0010,01)  0.000001  0.000040 19:46:48.64  -15:04:57.33 296.7026526  0.0007884 -15.0825920  0.0007447  0.000337  0.000401  0.003321  0.004270 13.69  2.74  5.54  2.44   83.8   4.8   0000000
(0010,02) -0.000004  0.000038 19:46:47.81  -15:04:58.66 296.6992138  0.0007884 -15.0829617  0.0007447  0.000145  0.000401  0.002281  0.006347 11.46  2.73 10.53  2.44   -7.6   1.9   0000000
(0011,00)  0.000005  0.000044 19:45:48.87  -15:04:43.04 296.4536088  0.0001746 -15.0786209  0.0001142  0.000329  0.000097  0.001281  0.000417  5.49  0.43  5.44  0.64   -5.9  12.8   0000000
(0011,01)  0.000006  0.000045 19:45:48.51  -15:04:44.13 296.4521445  0.0001746 -15.0789240  0.0001142  0.000172  0.000097  0.000477  0.000281  5.53  0.43  3.85  0.63   -7.1   9.2   0000000
(0011,02)  0.000006  0.000047 19:45:48.27  -15:04:40.92 296.4511084  0.0001746 -15.0780322  0.0001142  0.000283  0.000097  0.003077  0.001084 10.45  0.43  7.99  0.64   84.1  16.3   0000000
(0012,00)  0.000001  0.000049 19:45:46.38  -15:04:26.04 296.4432504  0.0000920 -15.0739004  0.0000962  0.000347  0.000031  0.002759  0.000352  8.08  0.50  7.57  0.52   -6.6   1.4   0000000
(0013,00)  0.000007  0.000040 19:46:14.11  -15:03:22.94 296.5587747  0.0000984 -15.0563722  0.0000700  0.000279  0.000028  0.001365  0.000204  6.70  0.32  5.60  0.56   85.5   0.7   0000000
(0014,00) -0.000003  0.000045 19:45:18.11  -15:03:03.10 296.3254443  0.0000542 -15.0508610  0.0000661  0.000358  0.000038  0.000919  0.000123  4.95  0.28  3.99  0.24    0.5   0.3   0000000
(0015,00)  0.000006  0.000047 19:45:14.90  -14:57:33.29 296.3120717  0.0000119 -14.9592475  0.0000138  0.001942  0.000065  0.003568  0.000138  3.91  0.04  3.62  0.05   -5.4   0.2   0000000
(0015,01)  0.000005  0.000047 19:45:14.50  -14:57:31.84 296.3104205  0.0000119 -14.9588454  0.0000138  0.000269  0.000065  0.004855  0.001180 21.15  0.04  6.55  0.05   86.3   0.6   0000000
(0015,02)  0.000005  0.000048 19:45:15.21  -14:57:38.86 296.3133824  0.0000119 -14.9607936  0.0000138  0.000311  0.000065  0.008122  0.001711 19.24  0.04 10.44  0.05   -3.2   0.1   0000000
(0015,03)  0.000005  0.000047 19:45:14.48  -14:57:36.80 296.3103367  0.0000119 -14.9602231  0.0000138  0.000179  0.000065  0.000371  0.000136  5.52  0.04  2.89  0.05   -2.1   0.1   0000000
(0016,00)  0.000015  0.000055 19:44:59.22  -14:57:07.66 296.2467663  0.0003097 -14.9521277  0.0001486  0.000510  0.000084  0.002262  0.000515  6.40  0.26  5.33  0.81   85.6   1.1   0000000
(0016,01)  0.000014  0.000055 19:44:58.99  -14:57:10.21 296.2458017  0.0003097 -14.9528354  0.0001486  0.000438  0.000084  0.001022  0.000291  4.50  0.26  3.98  0.81   -8.6   0.8   0000000
(0016,02)  0.000014  0.000055 19:44:58.78  -14:57:05.42 296.2449113  0.0003097 -14.9515060  0.0001486  0.000258  0.000084  0.000683  0.000272  5.72  0.26  3.55  0.81   -5.0   0.5   0000000
(0017,00) -0.000004  0.000039 19:46:01.44  -14:56:36.52 296.5060074  0.0000354 -14.9434790  0.0000304  0.000483  0.000034  0.000888  0.000074  3.90  0.10  3.62  0.14   86.1   0.7   0000000
(0018,00)  0.000009  0.000046 19:44:02.03  -14:56:31.92 296.0084508  0.0000289 -14.9422011  0.0000312  0.000650  0.000039  0.001371  0.000097  4.28  0.11  3.79  0.11   -6.2   0.3   0000000
(0019,00) -0.000004  0.000044 19:44:33.32  -14:55:30.77 296.1388258  0.0000895 -14.9252132  0.0001075  0.000233  0.000044  0.000346  0.000096  3.74  0.52  3.05  0.45   -6.5   0.8   0000000
(0020,00)  0.000002  0.000042 19:45:08.38  -14:54:25.60 296.2848969  0.0000508 -14.9071102  0.0000632  0.000291  0.000038  0.000291  0.000038  3.26 -1.00  2.36 -1.00   -5.6  -1.0   0000100
(0021,00) -0.000007  0.000046 19:45:19.75  -14:54:10.55 296.3322864  0.0000594 -14.9029298  0.0000561  0.000344  0.000042  0.000566  0.000087  3.64  0.21  3.48  0.25   -7.4   2.2   0000000
