19h44m45.06s, -15d10m18.92s 
19h45m14.90s, -14d57m33.29s 
19h44m36.44s, -14d53m32.80s 
19h45m13.46s, -14d52m55.02s 
19h45m7.67s, -14d52m29.50s 
19h45m7.72s, -14d52m33.64s 
19h45m13.10s, -14d51m28.18s 
19h45m12.29s, -14d51m21.42s 
19h45m14.86s, -14d48m17.39s 
19h45m14.66s, -14d48m17.52s 
19h43m17.19s, -14d47m44.38s 
19h46m5.58s, -14d46m17.17s 
19h44m3.94s, -14d44m12.17s 
19h44m52.81s, -14d43m11.63s 
19h45m59.25s, -14d43m2.70s 
19h44m40.87s, -14d40m45.08s 
19h45m22.56s, -14d40m22.74s 
19h44m5.16s, -14d37m41.01s 
19h45m50.10s, -14d37m5.07s 
19h45m8.13s, -14d36m41.88s 
19h45m7.01s, -14d36m36.64s 
19h45m34.66s, -14d33m31.60s 
19h44m14.53s, -14d27m42.91s 
19h43m48.63s, -14d18m17.53s 
19h43m48.38s, -14d18m17.84s 
